Player,Team,Pos,Injury,Status,Est. Return
Isaiah Manning,Sam Houston,F,Undisclosed,Out For Season,Subscribers Only
Amar'e Marshall,St. Bonaventure,G,Foot,Out,Subscribers Only
Jaeden Marshall,La Salle,G,Leg,Game Time Decision,Subscribers Only
Jackson McAndrew,Creighton,F,Foot,Out For Season,Subscribers Only
Liam McChesney,Creighton,F,Undisclosed,Out,Subscribers Only
Nic McClain,Belmont,G,Knee,Out For Season,Subscribers Only
Will McClendon,North Texas,G,Leg,Out For Season,Subscribers Only
Peyton McCollum,Iowa,G,Foot,Out For Season,Subscribers Only
Quentin McCoy,Arizona State,G,Redshirt,Out For Season,Subscribers Only
Bryson McGlothin,Richmond,F,Undisclosed,Out,Subscribers Only
Jaron McKie,Dayton,G,Shoulder,Out For Season,Subscribers Only
Isaiah Medina,DePaul,F,Redshirt,Out For Season,Subscribers Only
Mackenzie Mgbako,Texas A&M,F,Foot,Out For Season,Subscribers Only
Ian Miletic,Marquette,F,Redshirt,Out For Season,Subscribers Only
Robert Miller,Louisiana State,F,Undisclosed,Out,Subscribers Only
Tibor Mirtic,Penn State,F,Knee,Game Time Decision,Subscribers Only
Justin Moore,Loyola-Chicago,G,Undisclosed,Out,Subscribers Only
Will Mortimore,College of Charleston,F,Concussion,Out,Subscribers Only
Yaphet Moundi,San Jose State,F,Foot,Out,Subscribers Only
Neiko Mundey,Texas A&M,G,Redshirt,Out For Season,Subscribers Only
KeShawn Murphy,Auburn,F,Pro Draft Prep,Out For Season,Subscribers Only
Luke Naser,Xavier,G,Undisclosed,Game Time Decision,Subscribers Only
Cheikh Ndiaye,Sam Houston,F,Arm,Out For Season,Subscribers Only
Dayan Nessah,Cleveland State,F,Shoulder,Game Time Decision,Subscribers Only
Ndewedo Newbury,San Francisco,F,Leg,Out,Subscribers Only
Nathan Nguyen,Sam Houston,G,Undisclosed,Out For Season,Subscribers Only
Amarion Nimmers,Florida International,G,Undisclosed,Out For Season,Subscribers Only
Christian Nitu,Washington,F,Redshirt,Out For Season,Subscribers Only
Mo Njie,Texas-San Antonio,C,Finger,Game Time Decision,Subscribers Only
Kebba Njie,Notre Dame,F,Knee,Game Time Decision,Subscribers Only
Gehrig Normand,Santa Clara,G,Undisclosed,Out,Subscribers Only
Austin Nunez,Texas-San Antonio,G,Ankle,Game Time Decision,Subscribers Only
Chris Nwuli,Rutgers,F,Undisclosed,Out,Subscribers Only
Brayden O'Connor,George Mason,G,Foot,Out For Season,Subscribers Only
Jacob Ognacevic,Washington,F,Foot,Game Time Decision,Subscribers Only
Frank Oguche,UNC-Charlotte,G,Undisclosed,Out,Subscribers Only
Obinnaya Okafor,VCU,F,Undisclosed,Out,Subscribers Only
Chisom Okpara,Stanford,F,Lower Body,Out For Season,Subscribers Only
Brandon Oloumou,Middle Tennessee St.,C,Undisclosed,Out,Subscribers Only
Adam Olsen,South Alabama,F,Lower Leg,Out,Subscribers Only
BJ Omot,Minnesota,F,Leg,Out For Season,Subscribers Only
Collins Onyejiaka,Alabama,C,Undisclosed,Out,Subscribers Only
Emeka Opurum,Auburn,C,Undisclosed,Out For Season,Subscribers Only
Xavier Osceola,Florida State,G,Hip,Game Time Decision,Subscribers Only
Abraham Oyeadier,West Virginia,C,Undisclosed,Out For Season,Subscribers Only
Arrinten Page,Northwestern,F,Illness,Game Time Decision,Subscribers Only
Riley Parker,Portland,G,Foot,Out For Season,Subscribers Only
Rakease Passmore,Maryland,G,Achilles,Game Time Decision,Subscribers Only
Jacob Patrick,Utah,G,Undisclosed,Out,Subscribers Only
Kallai Patton,New Mexico,G,Redshirt,Out For Season,Subscribers Only
Pharrel Payne,Maryland,C,Leg,Game Time Decision,Subscribers Only
Sheek Pearson,Marquette,F,Redshirt,Out For Season,Subscribers Only
Maikcol Perez,Baylor,F,Knee,Out For Season,Subscribers Only
KJ Perry,BYU,G,Redshirt,Out For Season,Subscribers Only
Javon Perry,Rhode Island,F,Redshirt,Out For Season,Subscribers Only
Shamarius Peterkin,Virginia Tech,G,Undisclosed,Game Time Decision,Subscribers Only
Clash Peters,Georgia State,F,Personal,Out,Subscribers Only
Rytis Petraitis,California,F,Lower Leg,Out For Season,Subscribers Only
Nick Petronio,Boston College,G,Undisclosed,Game Time Decision,Subscribers Only
Ryan Pettis,Fordham,G,Concussion,Out,Subscribers Only
Cade Phillips,Tennessee,F,Shoulder,Out For Season,Subscribers Only
Nate Pickens,BYU,G,Undisclosed,Out For Season,Subscribers Only
Caden Pierce,Purdue,F,Redshirt,Out For Season,Subscribers Only
Lance Piper,Delaware,G,Upper Leg,Out,Subscribers Only
Casper Pohto,St. John's,G,Hip,Out For Season,Subscribers Only
Kash Polk,Arizona State,F,Redshirt,Out For Season,Subscribers Only
Reece Potter,Kentucky,F,Redshirt,Out For Season,Subscribers Only
Aaron Powell,Rice,G,Undisclosed,Out For Season,Subscribers Only
Gabriel Pozzato,Xavier,F,Knee,Game Time Decision,Subscribers Only
Devon Pryor,Oregon,F,Groin,Out,Subscribers Only
Daithi Quinn,East Carolina,G,Knee,Out For Season,Subscribers Only
Tyrus Rathan-Mayes,Wichita State,G,Redshirt,Out For Season,Subscribers Only
Jordan Rayford,Indiana,G,Undisclosed,Out For Season,Subscribers Only
Jalen Reed,Louisiana State,F,Achilles,Out For Season,Subscribers Only
Caleb Reese,Loyola-Chicago,G,Undisclosed,Out,Subscribers Only
Cavan Reilly,Delaware,G,Hamstring,Out,Subscribers Only
Jasir Rencher,Washington,F,Undisclosed,Out For Season,Subscribers Only
Lawson Rice,Western Kentucky,G,Knee,Out For Season,Subscribers Only
Rodney Rice,USC,G,Shoulder,Out For Season,Subscribers Only
Myles Rice,Maryland,G,Undisclosed,Game Time Decision,Subscribers Only
Macaleab Rich,Texas-San Antonio,F,Groin,Out For Season,Subscribers Only
Dominik Robinson,Washington State,F,Redshirt,Game Time Decision,Subscribers Only
Azavier Robinson,Butler,G,Wrist,Out For Season,Subscribers Only
Jackson Rogers,Sam Houston,G,Undisclosed,Out For Season,Subscribers Only
Ben Roseborough,San Jose State,G,Undisclosed,Out,Subscribers Only
Jalen Rougier-Roane,George Washington,G,Undisclosed,Out For Season,Subscribers Only
Jovani Ruff,California,G,Redshirt,Out For Season,Subscribers Only
Daeshun Ruffin,Jackson State,G,Leg,Out,Subscribers Only
Dame Salane,Arizona State,C,Redshirt,Out For Season,Subscribers Only
Zion Sampaio,Florida Atlantic,G,Undisclosed,Out For Season,Subscribers Only
Jorge Santos,Florida International,F,Undisclosed,Out For Season,Subscribers Only
Richie Saunders,BYU,F,Knee,Out For Season,Subscribers Only
Owen Schlager,Siena,G,Ribs,Out,Subscribers Only
Jason Schofield,Marist,F,Knee,Out,Subscribers Only
Jaquan Scott,Arkansas-Pine Bluff,F,Transfer Portal,Out,Subscribers Only
Cam Scott,South Carolina,G,Redshirt,Out For Season,Subscribers Only
Bryant Selebangue,Western Kentucky,F,Achilles,Out For Season,Subscribers Only
Louie Semona,Western Kentucky,F,Back,Out,Subscribers Only
Camian Shell,Delaware State,G,Not Injury Related,Out,Subscribers Only
Jalen Shelley,Loyola Marymount,F,Undisclosed,Game Time Decision,Subscribers Only
Jackson Shelstad,Oregon,G,Hand,Out For Season,Subscribers Only
Grant Smith,East Carolina,F,Undisclosed,Out For Season,Subscribers Only
AJ Smith,Temple,G,Shoulder,Out For Season,Subscribers Only
Lukas Sotell,Maryland,G,Undisclosed,Game Time Decision,Subscribers Only
Mouhamed Sow,Rhode Island,F,Leg,Out For Season,Subscribers Only
Mayo Soyoye,Baylor,C,Redshirt,Out For Season,Subscribers Only
Pierce Spencer,Texas-San Antonio,G,Shoulder,Out For Season,Subscribers Only
Chance Stephens,Minnesota,G,Illness,Out,Subscribers Only
DJ Stickman,Fresno State,G,Knee,Game Time Decision,Subscribers Only
Jake Stout,Maryland-Baltimore County,G,Undisclosed,Out,Subscribers Only
Patrick Suemnick,Seton Hall,F,Shoulder,Game Time Decision,Subscribers Only
Imran Suljanovic,St. John's,F,Knee,Out For Season,Subscribers Only
AJ Swinton,Florida State,F,Knee,Out For Season,Subscribers Only
Mouhamed Sylla,Georgia Tech,C,Ankle,Game Time Decision,Subscribers Only
Chris Tadjo,Santa Clara,F,Knee,Out For Season,Subscribers Only
Dedan Thomas,Louisiana State,G,Foot,Out For Season,Subscribers Only
Dyllan Thompson,Georgia Tech,F,Undisclosed,Game Time Decision,Subscribers Only
JT Toppin,Texas Tech,F,Knee,Out For Season,Subscribers Only
Brendan Tousignaut,Kennesaw State,G,Undisclosed,Out For Season,Subscribers Only
